#NoiseFreeFlow,NoisyFlow,FilteredFlowL1,FilteredFlowLL,Filtered_mixed,FlowGrad,FlowHarm
59,63,0.362,-1.1911,-0.25491,-0.77905,-0.25303,-1.0104,-0.18069
61,64,0.46929,0.24026,0.32645,0.028863,0.19622,-0.070307,0.31057
62,64,-0.75571,-0.92947,-1.16,-0.68879,-0.89555,0.24797,-1.1774
61,65,-0.075796,0.23953,0.64327,0.19637,0.59184,-0.33085,0.57038
57,66,0.56794,0.30941,-0.0050318,0.24422,0.0050501,0.31184,-0.0024337
65,66,-0.015442,0.48262,0.53759,0.3647,0.45365,-0.030309,0.51293
63,67,-0.8758,-0.72777,-0.51123,-0.58589,-0.43787,-0.23941,-0.48836
63,68,1.1612,-0.4113,0.26505,-0.36297,0.19699,-0.71897,0.30767
67,68,-0.38114,-0.45066,0.0091459,-0.3191,0.0038131,-0.47956,0.028901
65,69,0.079562,-0.24724,0.079317,0.015348,0.10984,-0.30469,0.05745
66,69,0.45104,0.23612,0.50772,0.26587,0.4308,-0.27438,0.5105
53,70,-0.37038,0.49137,0.47066,-0.049453,0.33375,0.01176,0.47961
68,70,-0.42927,-1.5104,-1.3289,-0.92972,-1.0734,-0.2197,-1.2907
68,71,1.208,2.0084,1.6307,1.101,1.3121,0.38112,1.6273
70,72,-0.79,-1.9286,-0.82573,-1.3887,-0.70009,-1.1175,-0.81111
67,73,-0.56201,0.007831,-0.50563,0.0042892,-0.42164,0.52509,-0.51726
71,73,-0.26551,1.1277,0.53217,0.85704,0.44582,0.62353,0.50415
71,74,1.4035,0.47404,1.1155,0.58844,0.89188,-0.64911,1.1231
72,74,-0.84466,0.25814,-0.76253,0.1877,-0.61667,1.0693,-0.81111
73,75,-0.77838,-0.23572,0.027019,0.042975,0.024493,-0.22261,-0.013112
74,75,0.61159,1.3621,0.38782,0.92306,0.32098,1.05,0.31204
69,76,-0.16946,-0.018359,-0.63982,0.0073477,-0.47473,0.62372,-0.64208
76,77,-1.4691,-1.4072,-0.92228,-0.94141,-0.78911,-0.51448,-0.89274
64,78,-0.34492,-1.7523,-0.8687,-1.3227,-0.74448,-0.8854,-0.86688
77,78,-0.75244,-1.2124,-0.83642,-1.0525,-0.76108,-0.42942,-0.783
69,79,0.67825,1.3351,1.2096,0.88362,0.99703,0.12504,1.21
76,79,1.3435,-0.24803,0.24791,-0.026017,0.2716,-0.49869,0.25065
75,80,-0.077595,0.5872,0.42262,0.12934,0.35408,0.28827,0.29893
78,80,-1.0033,-2.9862,-2.4876,-1.9952,-1.9904,-0.56294,-2.4233
77,81,-0.74619,0.45224,-0.10695,0.21682,-0.05267,0.56198,-0.10974
79,81,1.9001,2.0069,1.4367,1.334,1.2453,0.54619,1.4607
78,82,-0.13619,0.50308,0.77179,-0.22092,0.47533,-0.27033,0.77342
80,82,-1.0073,-1.8318,-2.0617,-1.3151,-1.6259,0.29261,-2.1244
81,82,1.0665,0.08922,1.2931,0.055847,1.147,-1.2617,1.3509
